"","movie","points","review"
"1","다만 악에서 구하소서","10","간만에 인생영화!! 클래식 홍콩스타일 느와르 개쩜 "
"2","고양이 여행 리포트","10","냥이를키우는입장에서 너무공감이였습니다.저희냥이껴안고 펑펑울었네요.ㅜㅜ "
"3","소년시절의 너","10","극장에서 이정도의 영화 정말 오랜만이다최고다 정말 너무좋았다 "
"4","반도","1","좀비는 그냥 서브 장식이고 자동차액션이 메인인 국산판 매드맥스 "
"5","다만 악에서 구하소서","10","아무 스토리도 모르고 본 영화진짜 꿀잼 믿고보는배우 믿고보는영화 "
"6","다만 악에서 구하소서","10","박정민 연기 잘하네. 상하나 받겠어 "
"7","다만 악에서 구하소서","6","연기만 좋았음 스토리 진부함 "
"8","다만 악에서 구하소서","4","이럴수가 할말이없슴..ㅠ대실망 "
"9","위 워 솔저스","6","전쟁에 가서 싸운다고 영웅이 된 건 아니다. "
"10","다만 악에서 구하소서","6","박정민이 보인 영화~~박정민 최고! "
