"","movie","point","review"
"1","프랭크","10",""
"2","반도","10","감동적이고 상영시간내내 긴박하고 두시간이 순삭으로 지나갔음..올만에 아주재미있었음 "
"3","다만 악에서 구하소서","6","영상미에 비해서 스토리가 빈약함. "
"4","다만 악에서 구하소서","8","스토리의 개연성 부족 빼고는 모두 만족입니다특히 우수한연기와 액션으로 몰입도가 높은 영화였습니다 "
"5","이층의 악당","9","대사 좋고 연출 좋고 연기도 좋고 이런 블랙 코미디 너무 좋습니다 "
"6","다만 악에서 구하소서","1","너무높아서 내림. 냉정하게 4점정도의 영화. 배우들 연기아니었으면 정말 끔찍할뻔했다. 아무리 느와르라지만 최소한의 개연성은 있어야지.. 개그포인트는 왜잡는지도 모르겠고.. 배우들이 정말 너무 아깝다... 이걸보느니 아수라를 세번 더보겠다ㅋㅋㅋㅋ "
"7","강철비2: 정상회담","10","연기랑 연출이 좋았어요 스토리가 살짝 아쉽긴 한데 OST가 인상적 "
"8","다만 악에서 구하소서","3","기대가 너무 컷네요 명배우들을 어찌 이런 스토리에 녹여 낼수있는건지...심하네요;; "
"9","다만 악에서 구하소서","4","솔직히 딱히 재미는 느끼지 못했지만 배우들의 연기가 감칠났던거 같습니다 특히 천만메이커 황정민배우의 연기가 너무 좋네요 스토리는 재미없는 편 이였습니다. "
"10","다만 악에서 구하소서","1","아저씨2 아저씨2 아저씨2 "
"11","양들의 침묵","9","이토록 우아한 살인마를 본적이 있는가 ! "
"12","메기","1","진짜 너무재미없고 보기전 평점 좋길래 똥파리,우리들,플란다스의개 정도를 기대하고봤는데 진짜 근본없는 지잡대 졸업작품만도 못함ㅋ 아래 평점알바,지인들 섭외하느라 고생했다 ㅋ "
"13","다만 악에서 구하소서","8",""
"14","지푸라기라도 잡고 싶은 짐승들","8",""
"15","지금 만나러 갑니다","10","진짜 엄마가 그립고 또 그립네요... "
"16","매트릭스","10","일단 키아누리브스 존나잘생김. 진짜. 진짜야. 와씨. "
"17","다만 악에서 구하소서","1","앞으로 아이를 함부로 대하는 영화는 보지 않겠습니다. 영화를 봐서 미안합니다.아이에게 정신적 스트레스를 주입시킵니다. 아이에 관한 서사를 전혀 해결하지 않습니다. 영화를 보는 내내 아이에 대한 걱정이 아니라 영화에 대해 걱정하게 됩니다. 어디까지 심하게 아이에게 위협을 가해야 하는 겁니까. 영화 보는 내내 아이에게 미안함을 느낍니다. 앞으로 아이를 함부로 대하고 해결하지 않는 영화는 보지 않겠습니다. "
"18","다만 악에서 구하소서","2","내용이 없어요.... 그냥 잔인함 15세 이용가가 아님영화 다 보고 기억나는건 박정민의 변신뿐이정재, 황정민이 왜 이 영화를 택한지 모르겠음... "
"19","다만 악에서 구하소서","10","레이는 진짜 이렇게 까지 할 필요가 있었나 의문.. "
"20","다이버전트","10","몰입도 최고입니다 "
"21","늑대아이","10","너무좋아요 ㅠㅠㅠ진짜 늑대의 감성과 각자의 인생도찾고 분위기랑 스토리도 너무좋아요인생작이에요 ㅠㅠ 8번봤는데 다울었어요 ㅋㅋ너무사랑합니다 하나 유키 아메 "
"22","반도","1",""
"23","강철비2: 정상회담","10","개인적으로 현재 국제정세와 빗대어봤을때 뼈때리는 대사와 상황들, 개봉첫날 관람했는데 굉장히 재미있게 봤어요:) 후반부 잠수함씬도 좋았고, 쿠키영상이 감독의 직접적인 생각을 더 엿볼수있었고요. 여러분들은 통일 원하십니까? "
"24","다만 악에서 구하소서","1"," 액션씬이랑 연기는 좋지만, 리뷰에 연기칭찬만 즐비하면 진짜 재미없는 영화구나를 이제 빅데이터로 느낌... 빈약한 개연성과 스토리 때문에 아쉬운 영화 "
"25","다만 악에서 구하소서","10","오래간만에 몰입해서 봤다. 연기, 액션, 스토리 만족!! "
"26","다만 악에서 구하소서","10","시작하면서 흐른시간이 언제막바지까지 왔는지 모르게 배우들에 연기같지않은 실제인물표현에디테일에 스토리에 빠른전개가 좋았다 우리나라액션이 이렇게 까지 많이 놀라웠다 "
"27","다만 악에서 구하소서","10","빠른전개와 단순 스토리에 전개는 좋음스토리가 더 탄탄했음 좋껬음 "
"28","엣지 오브 투모로우","10","리세마라를 몸으로 직접 해야한다니..오우쒰.. "
"29","콰이어트 플레이스","2","지하실에 들어갔던 괴물은 도대체 어떻게 들어갔던거임?? 안전한곳이라매.. 너무 뜬금없었음 "
"30","엘라의 계곡","9","주연배우로 일단 절반은 먹고 들어가는거고 전쟁은 승자도 패자도 없다는걸 다룬 많은 영화 중 하나. 주인공 아들 인성을 뒤죽박죽으로 설정한것 같기도. 정말 전쟁을 없애려면 문재앙이나 더듬어민주당처럼 반자본주의식으로 하면 안되고 친자본주의 정책으로 기업을 성장시켜 세금을 늘리고 중국과도 겨룰 정도로 군비증강을 해야만 가능한 것 "
"31","강철비2: 정상회담","9","볼만 했는데 너무 좌파영화인 느낌. "
"32","다만 악에서 구하소서","1","잔인함의 극치로 아무 내용 없는 3류영화로안보는게 좋습니다.감사합니다. "
"33","다만 악에서 구하소서","10","지금도 재밌게 봤지만 개인적으로 19세영화로 나왔으면 더 재밌었을거 같다. "
"34","강철비2: 정상회담","2","빨갱이역을 모델급 멋있는 배우를 쓰는 이유는 영화로 우리에게 빨갱이 인식을 개선시키려고 했던영화 "
"35","다만 악에서 구하소서","2","미쳤네ㅋㅋ이런 영화가 9점개 실화냐ㅠㅠ 방콕 배경만 좋았다 "
"36","반도","1","와 ....이건 진짜 예고편의 반도 못하는 본편이였다 . 그래서 반도인가보다 "
"37","강철비2: 정상회담","9","정우성은 최고의 배우입니다 . 정우성으로 시작해서 정우성으로 끝내는 정우성영화 멋집니다 "
"38","엑스텐션","5","억지 반전에 개연성 완전 떨어짐. 그래도 재미는 있었음. 어저께는 마터스 봤는데 마터스가 훨씬 명작임. "
"39","강철비2: 정상회담","9","자~ 일베 알바들은 저리 가시기 바랍니다. 생각해 볼 거리도 있고 한국인이면 볼만한 영화입니다. "
"40","강철비2: 정상회담","10"," 재밌네요 매우 "
"41","82년생 김지영","10","영화본지 오래되었지만 이제서야 평점을 남기네요 제가 엄마가 되어보니 공감이 너무 되는 영화이네요 잘봤습니다 "
"42","반도","10","강동원 얼굴만 봐도 개재밌는데 이레 운전이 대박 ㅠㅠ "
"43","다만 악에서 구하소서","10","핸드캐리어  진짜 강하다 "
"44","아메리칸 스나이퍼","10","미국짱이다 역시!!! "
"45","완벽한 타인","10",""
"46","다만 악에서 구하소서","9","다만 악에서 구하소서 ...악에서 시작해서 악으로 끝나는 영화 ...다만 스토리가 좀 아쉬운부분 배고 연기는 만점 이였음 "
"47","다만 악에서 구하소서","6","딸아이의 등장과 방콕조폭의 등장이 영화의 맛을 오히려 떨어뜨린다. "
"48","다만 악에서 구하소서","2","최악. 개연성도 없고 굳이 하지 않아도 되는 캐릭터 설정. 설명 부족. 최악.최악 "
"49","다만 악에서 구하소서","10","최근 본 영화중에 제일 재밌었어요 "
"50","미스터 & 미세스 스미스","8","지금봐도 촌스럽지 않은 액션에 잘생기고 이쁘고 연기도 잘하는 배우들을 보는 재미가 쏠쏠하다 "
"51","다만 악에서 구하소서","8","액션과 스릴이 넘치지만 너무 고어한 장면들이 불편하다..레옹의 오마주가 넘치는 부분은 아쉽다. "
"52","다만 악에서 구하소서","10","익히 아는 재료로 만든 명품요리. 예쁜 그릇은 덤. 2시간을 넘기지 못한 러닝타임이 흠이라면 흠. "
"53","강철비2: 정상회담","1","종북 주사파들의 판타지 영화. 민족주의 뽕, 국뽕에 취해 현실감각은 엿 바꿔 먹은 영화. 민주당이나 문재인 정부 지지자들이나 좋아할 만한 영화다. 평화? 비핵화만 성공한다면 다 좋다. 근데 현실은 연락사무소 폭파, 햇볕정책은 돈은 돈대로 퍼주고 실패, 비핵화는 오리무중이니까 이 영화가 더 개연성 없는 망상 영화로 보이는 것. "
"54","다만 악에서 구하소서","2","이 배우로 이렇게까지밖에 못 하는게 신기하다 "
"55","강철비2: 정상회담","2","안방에서 보는 드라마보다 못하다연기도 그렇고 보는내내 옆에 있는 여친한테 창피함 ㅋㅋ "
"56","다만 악에서 구하소서","6","신세계의 케미를 기대하고 갔다면 실망스럽습니다. 잔뜩 힘만 준 의미없는 느와르 영화였습니다. 황정민, 이정재라는 배우를 기용했음에도 캐릭터를 잘 살려내지 못했고 이야기의 흐름과 개연성은 매우 아쉽습니다. "
"57","루비","10","시대의 청년들을 대변해주는 극인것 같다.. 지금의 나를 토닥여줘야지... 배우들의 연기 너무 좋아요 "
"58","다만 악에서 구하소서","2","진짜 스토리 누가썼냐??어거지로 끼워맞춘 스토리진짜 돈아깝다 비와서 그냥 봄 중간에 3팀정도 나감 "
"59","다만 악에서 구하소서","8",""
"60","#살아있다","1","진짜 인생영화  인생에서 제일 재미없는 영화!!!  화나요 "
"61","다만 악에서 구하소서","6","스토리는 구림... 개연성이 좀 떨어짐배우들 연기는 좋음...특히박정민 천재같음 "
"62","반도","7","그래도 핵극혐 웹툰 애니화 된 망작들 보단 이 영화가 훨씬 재밌어보인다.꼭 보긴 해야겠다. "
"63","다만 악에서 구하소서","6","레옹과 아저씨 영화를 적절히 믹스한 느낌!(많이 유사함!)이정재와 황정민 박정민 보는 재미! "
"64","더 웨이 홈","2","본인들 잘못은 모르면서 고집 피우고 우기기 잘하는 엄마와 아들 진상 "
"65","다만 악에서 구하소서","9",""
"66","다만 악에서 구하소서","4","스토리가 별로였음.영화 레옹에 아저씨,? 여러 영화 짬뽕 느낌! 박정민이 마틸다로 보이더군. "
"67","다만 악에서 구하소서","1","이 영화는 야동을 보는거와 같다스토리는 있으나 마나고 그저 야스만 할뿐이다 "
"68","다만 악에서 구하소서","2",""
"69","다만 악에서 구하소서","9","돈을 잘썼다 라는 생각을 오랜만에 느끼게 해준 영홥 ~ 굿 "
"70","다만 악에서 구하소서","10","오랜만에 영화 재밌게 잘 보았습니다 "
"71","스파이 키드","10","정말 명작임 꼭보세요! "
"72","다만 악에서 구하소서","10","너무 좋았네요 하 진짜 좋았음 "
"73","강철비2: 정상회담","1","1년평생에 한번올까말까한 뇌구조의 재난이왔습니다 3번을 나갔다 들어갔다  번복하다가 탈출씬에서 뛰처나왔네요 혹시 실례지만 청와대후원 영화인가요? 소주에 소맥에 과자에 등짝스메싱에 방귀에 놀랄 노늘 서른번은 경험하고  만세부르고 나갑니다... "
